TGL,BARANG, QTY , HARGA (RP) , VAT (11%) ,DEBIT
,Strapping band 12/8 kuning, 20 ," 83,600.00 ",," 4,180,000.00 "
,Strapping band 12/7 kuning, 120 ," 85,000.00 "," 1,122,000.000 "," 11,322,000.00 "
,Strapping band 15/8 kuning, 25 ," 87,000.00 ", - ," 2,175,000.00 "
,Strapping band 15/8 kuning, 10 ," 87,000.00 ", - ," 870,000.00 "
1/31/2023,Pe tube dl 9cm x 2m, 255 ," 15,500.00 ",," 3,952,500.00 "
1/2/2023,Strapping band 12/7 kuning, 3 ," 73,200.00 ",," 219,600.00 "
,Strapping band 12/8 kuning, 25 ," 86,600.00 ",," 2,165,000.00 "
,Strapping band 15/8 putih, 2 ," 90,000.00 ",," 180,000.00 "
,Strapping band 15/8 kuning, 5 ," 85,000.00 ",," 425,000.00 "
1/30/2023,Strapping band 15/7 kuning, 5 ," 82,000.00 ",," 410,000.00 "
,Strapping band 15/7 kuning, 30 ," 73,700.00 ",," 2,211,000.00 "
,Single face 150cm," 2,016 "," 10,681.82 "," 2,368,800.403 "," 23,903,349.52 "
,Strapping band 15/7 kuning, 10 ," 95,000.00 ", - ," 950,000.00 "
,SF 12mic x 300m, 12 ," 68,182.00 "," 90,000.240 "," 908,184.24 "
,Strapping band 15/7 kuning,,,," 908,184.24 "
2/1/2023,Strapping band 15/7 kuning, 1 ," 95,000.00 ",," 95,000.00 "
,Strapping band 15/8 putih, 10 ," 88,000.00 ",," 880,000.00 "
,Strapping band 12/8 kuning, 10 ," 86,000.00 ",," 860,000.00 "
,Strapping band 9/8 kuning, 15 ," 96,800.00 ",," 1,452,000.00 "
,Rafia hitam roll besar, 86 ," 14,000.00 ",," 1,202,600.00 "
,Pe foam 2mm x 300m, 10 ," 700,540.54 "," 770,594.595 "," 7,776,000.00 "
,Pe sheet 4cm x 1m x 1m, 30 ," 77,837.00 ", - ," 2,983,750.00 "
,Pe sheet 2cm x 1m x 1m, 10 ," 40,000.00 ", - ," 2,983,750.00 "
,Pe sheet 1cm x 1m x 1m, 10 ," 24,864.00 ", - ," 2,983,750.00 "
2/2/2023,Bubble clear 100m, 5 ," 300,000.00 ",," 1,500,000.00 "
,"SB 15/8 kuning, merah, putih@1", 3 ," 86,600.00 ",," 411,400.00 "
,"SB 15/7 hitam, biru@1", 2 ," 75,800.00 ",," 411,400.00 "
,Strapping band 12/7 kuning, 3 ," 73,200.00 ",," 219,600.00 "
,Strapping band 15/8 kuning, 15 ," 84,000.00 "," 138,600.000 "," 1,398,600.00 "
2/3/2023,Strapping band 15/8 kuning, 100 ," 85,000.00 ",," 8,500,000.00 "
,Strapping band 12/8 putih, 50 ," 84,200.00 ",," 4,210,000.00 "
,Pe foam 10mm x 50m B (42m), 42 ," 16,000.00 ",," 672,000.00 "
,Strapping band 15/7 kuning, 5 ," 82,000.00 ",," 410,000.00 "
,Strapping band 15/8 kuning, 3 ," 80,000.00 "," 26,400.000 "," 4,440,000.00 "
,Strapping band 15/8 merah, 2 ," 80,000.00 "," 17,600.000 "," 4,440,000.00 "
,Strapping band 15/7 hijau, 3 ," 80,000.00 "," 26,400.000 "," 4,440,000.00 "
,Strapping band 9/8 kuning, 30 ," 80,000.00 "," 264,000.000 "," 4,440,000.00 "
,Strapping band 9/8 merah, 12 ," 80,000.00 "," 105,600.000 "," 4,440,000.00 "
,Strapping band 15/8 kuning, 50 ," 84,000.00 "," 462,000.000 "," 4,662,000.00 "
,Pe sheet 4cm x 1m x 1m, 40 ," 77,837.00 "," 342,482.800 "," 3,455,962.80 "
,Pe sheet 4cm x 1m x 1m, 40 ," 77,837.00 ", - ," 3,513,480.00 "
,Pe sheet 2cm x 1m x 1m, 10 ," 40,000.00 ", - ," 3,513,480.00 "
,Strapping band 15/8 hijau, 10 ," 87,000.00 ", - ," 870,000.00 "
,PET hijau lokal 18kg, 5 ," 405,000.00 "," 222,750.000 "," 2,247,750.00 "
,Strapping band 15/8 kuning, 20 ," 86,363.64 "," 190,000.008 "," 1,917,272.81 "
2/4/2023,Strapping band 15/8 kuning, 15 ," 85,000.00 ",," 1,275,000.00 "
,Strapping band 12/8 biru, 15 ," 87,000.00 ",," 2,175,000.00 "
,Strapping band 12/8 merah, 5 ," 87,000.00 ",," 2,175,000.00 "
,Strapping band 12/8 hitam, 5 ," 87,000.00 ",," 2,175,000.00 "
2/6/2023,Strapping band 15/7 kuning, 300 ," 73,500.00 ",," 22,050,000.00 "
,Pe cormer 10cm x 10cm x 10cm," 2,000 "," 2,750.00 ",," 11,000,000.00 "
,Styrofoam 2cm, 10 ," 550,000.00 ",," 11,000,000.00 "
,Lakban clear 48mm x 80y, 72 ," 7,500.00 ",," 540,000.00 "
,Strapping band 15/8 kuning, 25 ," 85,000.00 ",," 2,125,000.00 "
,Strapping band 12/8 kuning, 100 ," 89,500.00 ",," 8,950,000.00 "
,Strapping band 15/7 hitam, 28 ," 71,750.00 ",," 2,009,000.00 "
,Strapping band 12/8 kuning, 20 ," 84,000.00 ",," 1,680,000.00 "
,Pe foam 2mm x 300m, 20 ," 665,540.54 "," 1,464,189.189 "," 14,775,000.00 "
,Pe sheet 6cm x 1m x 2m, 24 ," 261,261.26 "," 689,729.730 "," 6,960,000.00 "
,Strapping band 15/7 kuning, 30 ," 87,400.00 "," 288,420.000 "," 2,910,420.00 "
2/7/2023,SF 17mic x 250m, 30 ," 88,800.00 ",," 2,664,000.00 "
,Strapping band 15/7 biru, 2 ," 80,000.00 ",," 160,000.00 "
,PET hijau lokal 18kg, 40 ," 338,400.00 ",," 15,741,000.00 "
,Strapping band 12/7 kuning, 30 ," 73,500.00 ",," 15,741,000.00 "
2/8/2023,Strapping band 12/7 merah, 30 ," 81,800.00 ",," 2,454,000.00 "
,Strapping band 15/7 kuning, 5 ," 74,000.00 ",," 370,000.00 "
,Strapping band 15/8 kuning, 21 ," 85,000.00 ",," 1,785,000.00 "
,Bubble clear 100m, 1 ," 290,000.00 ",," 290,000.00 "
,Strapping band 15/7 hijau, 1 ," 95,000.00 ",," 95,000.00 "
,Strapping band 15/8 kuning, 10 ," 80,000.00 "," 88,000.000 "," 888,000.00 "
,Marking line yellow, 50 ," 65,765.77 "," 361,711.735 "," 3,939,609.32 "
,Bubble clear 100m, 1 ," 260,909.09 "," 28,700.000 "," 3,939,609.32 "
2/9/2023,Strapping band 12/8 biru, 50 ," 84,600.00 ",," 4,230,000.00 "
,Strapping band 12/7 biru, 10 ," 72,000.00 ",," 720,000.00 "
,Strapping band 12/7 kuning, 15 ," 71,750.00 ",," 2,152,500.00 "
,Strapping band 15/7 hijau, 15 ," 71,750.00 ",," 2,152,500.00 "
,Pe foam 2mm x 200m, 1 ," 550,000.00 ",," 550,000.00 "
,Strapping band 15/8 merah, 10 ," 88,000.00 ",," 880,000.00 "
2/10/2023,Pe foam 1mm x 500m, 2 ," 650,000.00 ",," 1,861,000.00 "
,Single face 150cm, 51 ," 11,000.00 ",," 1,861,000.00 "
,Bubble clear 100m, 2 ," 300,000.00 ",," 2,486,000.00 "
,Single face 150cm, 103 ," 12,000.00 ",," 2,486,000.00 "
,Pe foam 1mm x 500m, 1 ," 650,000.00 ",," 2,486,000.00 "
,Single face 150cm, 114 ," 11,000.00 ",," 3,254,000.00 "
,Edge P, 100 ," 20,000.00 ",," 3,254,000.00 "
,Strapping band 15/8 kuning, 12 ," 82,000.00 ",," 984,000.00 "
,Strapping band 9/8 kuning, 6 ," 96,800.00 ",," 580,800.00 "
,Single face 150cm," 1,064 "," 10,681.82 "," 1,250,200.213 "," 18,670,207.19 "
,Pe foam 0.5mm x 800m, 10 ," 545,455.00 "," 600,000.500 "," 18,670,207.19 "
,Strapping band 12/8 kuning, 12 ," 85,000.00 "," 112,200.000 "," 1,132,200.00 "
2/11/2023,Pe tube dl 9cm x 2m, 425 ," 14,090.91 "," 658,750.043 "," 6,647,386.79 "
2/13/2023,Las bubut as, 1 ," 150,000.00 ",," 550,000.00 "
,V belt, 2 ," 75,000.00 ",," 550,000.00 "
,Servis mesin sb, 1 ," 250,000.00 ",," 550,000.00 "
,V belt, 4 ," 75,000.00 ",," 750,000.00 "
,Bearing, 2 ," 100,000.00 ",," 750,000.00 "
,Servis mesin sb, 1 ," 250,000.00 ",," 750,000.00 "
,Pe foam 2mm x 200m, 25 ," 437,950.45 "," 1,204,363.738 "," 12,153,124.99 "
2/14/2023,Strapping band 15/7 kuning, 50 ," 73,700.00 ",," 3,685,000.00 "
,Strapping band 12/7 hitam, 25 ," 71,750.00 ",," 1,793,750.00 "
,SF 12mic x 300m, 6 ," 88,800.00 ",," 532,800.00 "
,Pe tube dl 9cm x 2m," 1,549 "," 13,963.96 "," 2,379,319.820 "," 24,009,500.00 "
,Pe foam 2mm x 200m, 100 ," 437,950.45 "," 4,817,454.950 "," 48,612,499.95 "
,Strapping band 12/8 kuning, 120 ," 85,000.00 "," 1,122,000.000 "," 11,322,000.00 "
2/15/2023,Strapping band 12/8 biru, 20 ," 87,000.00 ",," 2,610,000.00 "
,Strapping band 12/8 hijau, 5 ," 87,000.00 ",," 2,610,000.00 "
,Strapping band 12/8 merah, 5 ," 87,000.00 ",," 2,610,000.00 "
,Strapping band 9/8 kuning, 10 ," 96,800.00 ",," 968,000.00 "
,Strapping band 15/8 kuning, 30 ," 169,800.00 "," 560,340.000 "," 5,654,340.00 "
2/16/2023,Bubble clear 50m, 6 ," 150,000.00 ",," 2,258,000.00 "
,Pe foam 1mm x 500m, 1 ," 650,000.00 ",," 2,258,000.00 "
,Single face 150cm, 59 ," 12,000.00 ",," 2,258,000.00 "
,Strapping band 15/8 kuning, 100 ," 85,000.00 ",," 8,500,000.00 "
2/21/2023,"Pe foam 0,5mm x 800m", 1 ," 550,000.00 ",," 550,000.00 "
,End gripper , 2 ," 700,000.00 ",   ," 4,140,000.00 "
,Welding clamp, 2 ," 700,000.00 ",," 4,140,000.00 "
,Holding gripper, 2 ," 670,000.00 ",," 4,140,000.00 "
2/17/2023,Strapping band 15/8 kuning, 10 ," 88,000.00 ",," 880,000.00 "
,Strapping band 15/7 kuning, 5 ," 74,000.00 ",," 370,000.00 "
2/16/2023,Strapping band 12/7 putih, 15 ," 72,000.00 ",," 1,080,000.00 "
,Strapping band 12/8 kuning, 10 ," 91,000.00 ",," 910,000.00 "
,Strapping band 15/8 kuning, 5 ," 86,000.00 ",," 430,000.00 "
,Pe sheet 4cm x 1m x 1m, 50 ," 77,837.00 ", - ," 3,891,850.00 "
,Pe sheet 4cm x 1m x 1m, 30 ," 77,837.00 "," 256,862.100 "," 2,591,972.10 "
,Strapping band 12/8 kuning, 80 ," 90,800.00 "," 799,040.000 "," 8,063,040.00 "
2/20/2023,Gripper CH-06 motif," 10,000 ", 216.00 ,," 2,160,000.00 "
2/21/2023,Strapping band 15/8 kuning, 50 ," 85,000.00 ",," 4,250,000.00 "
,Strapping band 12/7 kuning, 125 ," 73,000.00 ",," 9,125,000.00 "
,Strapping band 15/7 kuning, 1 ," 95,000.00 ",," 95,000.00 "
,SF 12mic x 300m, 30 ," 65,600.00 ",," 2,870,000.00 "
,Strapping band 15/8 putih, 11 ," 82,000.00 ",," 2,870,000.00 "
,Strapping band 12/7 kuning, 50 ," 84,000.00 "," 462,000.000 "," 4,662,000.00 "
,PET hijau lokal 20kg, 23 ," 342,342.00 "," 866,125.260 "," 9,879,990.12 "
,PET hijau lokal 18kg, 3 ," 342,342.00 "," 112,972.860 "," 9,879,990.12 "
,Pe sheet 4cm x 1m x 1m, 30 ," 77,837.00 "," 256,862.100 "," 2,591,972.10 "
,Strapping band 15/8 kuning, 20 ," 90,000.00 "," 198,000.000 "," 1,998,000.00 "
,Pe foam 2mm x 300m, 20 ," 665,540.54 "," 1,464,189.189 "," 14,775,000.00 "
2/22/2023,Strapping band 15/7 kuning, 50 ," 72,500.00 ",," 22,269,200.00 "
,Strapping band 12/7 kuning, 50 ," 72,500.00 ",," 22,269,200.00 "
,PET hijau lokal 18kg, 38 ," 338,400.00 ",," 22,269,200.00 "
,Gripper CH-06 motif," 10,000 ", 216.00 ,," 22,269,200.00 "
,Strapping band 15/7 kuning, 15 ," 71,750.00 ",," 1,076,250.00 "
,Strapping band 15/8 kuning, 11 ," 84,000.00 ",," 924,000.00 "
,Strapping band 15/7 kuning, 20 ," 95,000.00 ", - ," 1,900,000.00 "
,Pe sheet 4cm x 1m x 1m, 25 ," 77,837.00 ", - ," 2,953,925.00 "
,Pe foam 1mm x 500m, 1 ," 608,000.00 ", - ," 2,953,925.00 "
,Pe sheet 2cm x 1m x 1m, 10 ," 40,000.00 ", - ," 2,953,925.00 "
,Marking line yellow, 100 ," 65,765.77 "," 723,423.470 "," 7,300,000.47 "
2/23/2023,"Pe foam 0,5mm x 800m", 7 ," 550,000.00 ",," 5,500,000.00 "
,Pe foam 1mm x 500m, 3 ," 550,000.00 ",," 5,500,000.00 "
,Pe corner 10cm x 10cm x 10cm, 50 ," 1,800.00 ",," 90,000.00 "
,Strapping band 9/8 kuning, 10 ," 96,800.00 ",," 968,000.00 "
2/24/2023,Bubble clear 50m, 6 ," 150,000.00 ",," 3,482,000.00 "
,Pe foam 1mm x 500m, 1 ," 650,000.00 ",," 3,482,000.00 "
,Single face 150cm, 161 ," 12,000.00 ",," 3,482,000.00 "
,Pe tube dl 9cm x 2m, 170 ," 15,500.00 ",," 2,635,000.00 "
,SF 12mic x 300m, 60 ," 65,600.00 ",," 3,936,000.00 "
,Strapping band 15/7 kuning, 50 ," 81,300.00 ",," 5,691,000.00 "
,Strapping band 15/7 merah, 10 ," 81,300.00 ",," 5,691,000.00 "
,Strapping band 15/7 hijau, 10 ," 81,300.00 ",," 5,691,000.00 "
2/25/2023,Strapping band 12/8 biru, 2 ," 88,000.00 ",," 176,000.00 "
2/24/2023,Strapping band 15/7 kuning, 1 ," 95,000.00 ",," 95,000.00 "
,Strapping band 15/7 kuning, 15 ," 80,000.00 "," 132,000.000 "," 1,332,000.00 "
2/27/2023,Plastik mulsa hitam perak, 1 ," 750,000.00 ",," 750,000.00 "
,Strapping band 15/8 putih, 3 ," 82,000.00 ",," 246,000.00 "
,Strapping band 15/8 hitam, 10 ," 85,000.00 "," 93,500.000 "," 943,500.00 "
2/28/2023,Strapping band 12/7 kuning, 25 ," 73,500.00 ",," 1,837,500.00 "
,Strapping band 12/8 biru, 20 ," 91,500.00 ",," 1,830,000.00 "
,Strapping band 15/8 kuning, 5 ," 82,000.00 ",," 410,000.00 "
,Sf 17mic x 10cm, 250 ," 20,975.00 ",," 5,243,750.00 "
3/1/2023,Strapping band 15/7 kuning, 2 ," 95,000.00 ",," 5,243,750.00 "
,Strapping band 12/7 putih, 32 ," 72,000.00 ",," 8,208,000.00 "
,SF 12mic x 300m, 90 ," 65,600.00 ",," 8,208,000.00 "
2/28/2023,Strapping band 15/7 kuning, 2 ," 95,000.00 ",," 190,000.00 "
3/1/2023,"Pe foam 0,5mm x 800m", 5 ," 635,000.00 ",," 10,160,000.00 "
,Pe foam 1mm x 500m, 11 ," 635,000.00 ",," 10,160,000.00 "
,PET 18kg hijau, 2 ," 385,000.00 ",," 770,000.00 "
,Strapping band 15/8 kuning, 30 ," 85,000.00 ",," 2,550,000.00 "
,Strapping band 15/8 kuning, 1 ," 82,000.00 ",," 154,000.00 "
,Strapping band 15/7 kuning, 1 ," 72,000.00 ",," 154,000.00 "
,PET 18kg hijau, 5 ," 405,000.00 "," 222,750.000 "," 2,247,750.00 "
,Single face 150cm," 1,098 "," 10,681.82 "," 1,290,150.220 "," 13,018,788.58 "
3/2/2023,Bubble clear 100m, 5 ," 300,000.00 ",," 2,150,000.00 "
,Pe foam 1mm x 500m, 1 ," 650,000.00 ",," 2,150,000.00 "
,Strapping band 12/8 biru, 5 ," 87,000.00 ",," 870,000.00 "
,Strapping band 12/8 kuning, 5 ," 87,000.00 ",," 870,000.00 "
,Strapping band 9/8 kuning, 12 ," 96,800.00 ",," 1,161,600.00 "
,Strapping band 15/7 kuning, 5 ," 74,000.00 ",," 370,000.00 "
,Lakban tan 48mm x 80y, 72 ," 8,378.38 "," 66,356.757 "," 5,424,840.00 "
,Lakban clear 48mm x 100y, 432 ," 8,500.00 "," 403,920.000 "," 5,424,840.00 "
,Lakban tan 48mm x 100y, 72 ," 8,500.00 "," 67,320.000 "," 5,424,840.00 "
,Strapping band 15/8 kuning, 10 ," 87,000.00 ", - ," 870,000.00 "
,Strapping band 12/8 kuning, 150 ," 85,000.00 "," 1,402,500.000 "," 14,152,500.00 "
3/3/2023,Strapping band 12/7 kuning, 3 ," 73,200.00 ",," 219,600.00 "
,Strapping band 15/8 putih, 10 ," 88,000.00 ",," 880,000.00 "
,Strapping band 12/8 kuning, 10 ," 88,000.00 ",," 880,000.00 "
3/4/2023,Strapping band 12/7 kuning, 50 ," 72,500.00 ",," 7,250,000.00 "
,Strapping band 15/7 kuning, 50 ," 72,500.00 ",," 7,250,000.00 "
,Strapping band 15/8 merah, 10 ," 88,000.00 ",," 880,000.00 "
3/6/2023,V belt, 1 ," 65,000.00 ",," 480,000.00 "
,Baut tension, 1 ," 45,000.00 ",," 480,000.00 "
,Per heater, 1 ," 45,000.00 ",," 480,000.00 "
,Biaya servis mesin SB, 1 ," 325,000.00 ",," 480,000.00 "
,Biaya servis mesin SB, 1 ," 325,000.00 ",," 325,000.00 "
,Strapping band 15/7 hitam, 20 ," 71,750.00 ",," 2,224,250.00 "
,Strapping band 12/7 hitam, 5 ," 71,750.00 ",," 2,224,250.00 "
,Strapping band 15/7 kuning, 6 ," 71,750.00 ",," 2,224,250.00 "
,Bubble clear 100m, 2 ," 270,000.00 ",," 1,890,000.00 "
,Pe foam 1mm x 500m, 2 ," 675,000.00 ",," 1,890,000.00 "
3/7/2023,Bubble clear 100m, 9 ," 240,000.00 ",," 2,160,000.00 "
,Strapping band 15/8 merah, 20 ," 84,000.00 ",," 4,200,000.00 "
,Strapping band 15/8 kuning, 30 ," 84,000.00 ",," 4,200,000.00 "
,Strapping band 12/8 kuning, 4 ," 88,000.00 ",," 352,000.00 "
,Pe sheet 4cm x 1m x 1m, 20 ," 77,837.00 "," 171,241.400 "," 2,171,981.40 "
,Pe sheet 2cm x 1m x 1m, 10 ," 40,000.00 "," 44,000.000 "," 2,171,981.40 "
,Pe sheet 1cm x 1m x 1m, 8 ," 24,864.00 ", - ," 198,912.00 "
,Strapping band 9/8 kuning, 30 ," 80,000.00 "," 264,000.000 "," 4,262,400.00 "
,Strapping band 9/8 merah, 10 ," 80,000.00 "," 88,000.000 "," 4,262,400.00 "
,Strapping band 9/8 hijau, 1 ," 80,000.00 "," 8,800.000 "," 4,262,400.00 "
,Strapping band 9/8 hitam, 3 ," 80,000.00 "," 26,400.000 "," 4,262,400.00 "
,Strapping band 15/8 biru, 2 ," 80,000.00 "," 17,600.000 "," 4,262,400.00 "
,Strapping band 15/8 hijau, 2 ," 80,000.00 "," 17,600.000 "," 4,262,400.00 "
,Strapping band 15/7 kuning, 40 ," 85,000.00 ", - ," 3,400,000.00 "
,Strapping band 12/8 kuning, 80 ," 90,800.00 "," 799,040.000 "," 8,063,040.00 "
,Pe sheet 1cm x 1m x 1m, 9 ," 24,864.00 ", - ," 223,776.00 "
,Strapping band 12/7 kuning, 30 ," 84,000.00 "," 277,200.000 "," 2,797,200.00 "
3/8/2023,Gripper motif CH-06," 10,000 ", 216.00 ,," 2,160,000.00 "
,Single face 150cm," 1,557 "," 10,681.82 "," 1,829,475.311 "," 24,515,619.55 "
,"Pe foam 0,5mm x 800m", 9 ," 545,455.00 "," 540,000.450 "," 24,515,619.55 "
,Pe foam 1mm x 500m, 1 ," 545,455.00 "," 60,000.050 "," 24,515,619.55 "
,Strapping band 15/7 kuning, 10 ," 95,000.00 ", - ," 950,000.00 "
,Klem seng, 25 ," 21,000.00 "," 57,750.000 "," 582,750.00 "
3/9/2023,Bubble clear 100m, 9 ," 250,000.00 ",," 3,500,000.00 "
,Bubble clear 50m, 10 ," 125,000.00 ",," 3,500,000.00 "
,Strapping band 15/8 kuning, 30 ," 85,000.00 ",," 2,550,000.00 "
,Bubble clear 50m, 6 ," 135,000.00 ",," 810,000.00 "
,Pe foam 2mm x 200m, 100 ," 437,950.45 "," 4,817,454.950 "," 48,612,499.95 "
3/10/2023,Pe foam 1mm x 500m, 1 ," 650,000.00 ",," 2,150,000.00 "
,Bubble clear 50m, 10 ," 150,000.00 ",," 2,150,000.00 "
,Strapping band 12/8 biru, 15 ," 87,000.00 ",," 2,175,000.00 "
,Strapping band 12/8 kuning, 5 ," 87,000.00 ",," 2,175,000.00 "
,Strapping band 12/8 merah, 5 ," 87,000.00 ",," 2,175,000.00 "
,Strapping band 9/8 kuning, 13 ," 96,800.00 ",," 1,258,400.00 "
,Lakban clear 48mm x 80y, 144 ," 7,387.39 "," 117,016.216 "," 1,180,800.00 "
,Strapping band 15/7 kuning, 10 ," 86,363.64 "," 95,000.004 "," 958,636.40 "
3/11/2023,Strapping band 12/8 biru, 60 ," 84,600.00 ",," 5,076,000.00 "
,Strapping band 15/7 kuning, 50 ," 73,700.00 ",," 5,269,000.00 "
,Stretch film 17mic x 50cm, 18 ," 88,000.00 ",," 5,269,000.00 "
,Strapping band 15/8 merah, 100 ," 82,000.00 ",," 8,200,000.00 "
,pe tube dl 9cm x 2m, 340 ," 15,500.00 ",," 5,270,000.00 "
,Lakban clear 48mm x 80y, 288 ," 8,500.00 ",," 2,448,000.00 "
,Stretch film 12mic x 50cm, 12 ," 68,182.00 "," 90,000.240 "," 908,184.24 "
3/13/2023,Strapping band 15/7 kuning, 40 ," 80,000.00 ",," 5,000,000.00 "
,Strapping band 9/8 kuning, 20 ," 90,000.00 ",," 5,000,000.00 "
,Rafia hitam besar, 101 ," 14,000.00 ",," 1,408,400.00 "
,Strapping band 15/8 kuning, 21 ," 85,000.00 ",," 1,785,000.00 "
,Strapping band 12/8 kuning, 100 ," 89,500.00 ",," 8,950,000.00 "
,SB 15/8 kuning print eka f, 200 ," 129,090.99 "," 2,840,001.802 "," 28,658,200.00 "
,Strapping band 12/8 kuning, 400 ," 84,000.00 "," 3,696,000.000 "," 37,296,000.00 "
,PET 18kg hijau, 30 ," 342,342.00 "," 1,129,728.600 "," 11,399,988.60 "
,Pe sheet 4cm x 1m x 1m, 30 ," 77,837.00 "," 256,862.100 "," 3,923,972.10 "
,Pe sheet 2cm x 1m x 1m, 30 ," 40,000.00 "," 132,000.000 "," 3,923,972.10 "
,Pe foam 2mm x 300m, 20 ," 665,540.54 "," 1,464,189.189 "," 14,775,000.00 "
,Lakban clear 48mm x 100y, 144 ," 8,500.00 "," 134,640.000 "," 2,685,960.00 "
,Lakban tan 48mm x 100y, 72 ," 8,500.00 "," 67,320.000 "," 2,685,960.00 "
,Lakban clear 48mm x 80y, 72 ," 8,108.11 "," 64,216.216 "," 2,685,960.00 "
3/14/2023,Strapping band 15/7 kuning, 350 ," 73,500.00 ",," 25,725,000.00 "
,Lakban clear 24mm x 72y, 576 ," 5,150.00 ",," 2,966,400.00 "
,Strapping band 15/8 kuning, 20 ," 85,000.00 ",," 1,700,000.00 "
,Strapping band 12/8 kuning, 30 ," 86,600.00 ",," 2,598,000.00 "
,Strapping band 15/7 biru, 22 ," 79,000.00 ",," 1,738,000.00 "
,Bubble clear 50m, 2 ," 90,000.00 ",," 370,000.00 "
,Bubble black 50m, 2 ," 95,000.00 ",," 370,000.00 "
,Strapping band 15/7 kuning, 15 ," 71,750.00 ",," 1,076,250.00 "
,Strapping band 15/8 kuning, 150 ," 83,500.00 ",," 12,525,000.00 "
,Strapping band 15/8 kuning, 5 ," 85,000.00 ",," 425,000.00 "
,Strapping band 15/7 kuning, 5 ," 71,750.00 ",," 358,750.00 "
,SF 12mic x 300m, 6 ," 68,182.00 "," 45,000.120 "," 454,092.12 "
,Strapping band 15/7 kuning, 10 ," 80,000.00 "," 88,000.000 "," 888,000.00 "
3/15/2023,Strapping band 12/7 hijau, 2 ," 72,000.00 ",," 2,664,000.00 "
,Strapping band 12/7 putih, 35 ," 72,000.00 ",," 2,664,000.00 "
,Bubble clear 50m, 3 ," 90,000.00 ",," 270,000.00 "
,Strapping band 15/7 kuning, 2 ," 95,000.00 ",," 190,000.00 "
,Strapping band 9/8 kuning, 20 ," 96,800.00 ",," 1,936,000.00 "
,Strapping band 15/7 kuning, 5 ," 85,000.00 ",," 425,000.00 "
,Strapping band 12/7 hijau, 15 ," 71,750.00 ",," 1,076,250.00 "
,Strapping band 12/8 biru, 25 ," 91,500.00 ",," 2,287,500.00 "
3/16/2023,Pe foam 1mm x 500m, 10 ," 550,000.00 ",," 5,500,000.00 "
,Strapping band 15/8 kuning, 20 ," 85,000.00 ",," 1,700,000.00 "
,Pe foam 1mm x 500m,,,," 1,700,000.00 "
,pe tube dl 9cm x 2m, 75 ," 14,090.91 "," 116,250.008 "," 1,173,068.26 "
,Pe foam 2mm x 200m, 1 ," 495,495.50 "," 54,504.505 "," 550,000.00 "
3/17/2023,Line, 2 ," 45,000.00 ",," 420,000.00 "
,As roler, 1 ," 80,000.00 ",," 420,000.00 "
,Servis, 1 ," 250,000.00 ",," 420,000.00 "
,SF 17mic x 10cm, 150 ," 20,975.00 ",," 3,146,250.00 "
,Bubble clear 50m, 10 ," 150,000.00 ",," 2,150,000.00 "
,Pe foam 1mm x 500m, 1 ," 650,000.00 ",," 2,150,000.00 "
,Pe foam 2mm x 200m, 3 ," 468,181.82 "," 154,500.001 "," 1,559,045.46 "
3/18/2023,SF 12mic x 300m, 54 ," 65,600.00 ",," 3,542,400.00 "
,pe tube dl 9cm x 2m, 30 ," 14,090.91 "," 46,500.003 "," 469,227.30 "
3/20/2023,Strapping band 15/7 kuning, 70 ," 72,500.00 ",," 7,250,000.00 "
,Strapping band 12/7 kuning, 30 ," 72,500.00 ",," 7,250,000.00 "
,Strapping band 12/8 kuning, 10 ," 84,800.00 ",," 848,000.00 "
,Strapping band 15/8 kuning, 5 ," 88,000.00 ",," 440,000.00 "
,Strapping band 15/8 kuning, 1 ," 87,000.00 ",," 164,000.00 "
,Strapping band 15/7 kuning, 1 ," 77,000.00 ",," 164,000.00 "
,Strapping band 15/7 kuning, 1 ," 72,000.00 ",," 144,000.00 "
,Strapping band 15/7 hijau, 1 ," 72,000.00 ",," 144,000.00 "
,Single face 150cm, 584 ," 10,681.82 "," 686,200.117 "," 6,924,383.00 "
3/21/2023,Strapping band 15/7 kuning, 10 ," 95,000.00 ",," 14,700,000.00 "
,Styrofoam 2cm, 5 ," 550,000.00 ",," 14,700,000.00 "
,Styrofoam 4cm, 5 ," 550,000.00 ",," 14,700,000.00 "
,Pe corner 10cmx10cmx10cm," 3,000 "," 2,750.00 ",," 14,700,000.00 "
,Lakban clear 48mm x 80y, 72 ," 7,500.00 ",," 540,000.00 "
,Single face 150cm, 99 ," 11,000.00 ",," 2,389,000.00 "
,Pe foam 1mm x 500m, 2 ," 650,000.00 ",," 2,389,000.00 "
,Pe foam 2mm x 200m, 1 ," 530,000.00 ",," 530,000.00 "
,Strapping band 15/8 kuning, 2 ," 85,000.00 ",," 170,000.00 "
,Strapping band 12/8 kuning, 1 ," 88,000.00 ",," 88,000.00 "
,Pe foam 1mm x 500m, 1 ," 675,000.00 ",," 1,215,000.00 "
,Bubble clear 50m, 4 ," 135,000.00 ",," 1,215,000.00 "
,pe tube dl 9cm x 2m, 800 ," 18,018.02 "," 1,585,585.586 "," 16,000,000.00 "
,Styrofoam 1xmx1mx2m, 10 ," 563,063.06 "," 619,369.369 "," 13,637,500.00 "
,Pe foam 2mm x 300m, 10 ," 665,540.54 "," 732,094.595 "," 13,637,500.00 "
,Pe sheet 4cm x 1m x 1m, 35 ," 77,837.00 ", - ," 2,724,295.00 "
